School_Name,Address,City_Town,Postal_Code,School_Board,School_ID,Breakfast,Lunch,Snack
 St. Andrew's Senior Public School ,65 Victoria Ave, Cambridge   ,N1S1X2,Waterloo Region DSB,528781,Yes,,
McKenzie-Smith Bennett,69 Acton Blvd,Acton,L7J2H4,Halton DSB,353183,Yes,,
McKenzie-Smith Bennett,69 Acton Blvd,Acton,L7J2H5,Halton DSB,353183,Yes,,
McKenzie-Smith Bennett,69 Acton Blvd,Acton,L7J2H4,Halton DSB,353183,Yes,,
Robert Little,41 School Lane,Acton,L7J1B9,Halton DSB,487570,Yes,,
Robert Little,41 School Lane,Acton,L7J1B9,Halton DSB,487570,Yes,,
St. Joseph Acton,147 Mill,Acton,L7J1G7,Halton CDSB,809144,Yes,,
Meadowview PS,9234 Addison-Greenbush Road RR 2,Addison,K0E1A0,Upper Canada DSB,356417,Yes,,
Agincourt CI,2621 Midland Ave,Agincourt,M1S1R6,Toronto DSB,890723,Yes,,Yes
L'Amoreaux Collegiate Institute,2501 Bridletowne Circle,Agincourt,M1W2K1,Toronto DSB,920576,Yes,Yes, 
Ajax High School,105 Bayly St E,Ajax,L1S1P2,Durham DSB,890855,Yes,,
Applecroft Public School,55 Coles Ave,Ajax,L1T3H5,Durham DSB,20036,Yes,,
Archbishop Anthony Meagher Catholic Continuing Education Centre,692 King St E,Ajax,L1S1R6,Durham CDSB,992259,Yes,,
Archbishop Denis O'Connor C.H.S.,80 Mandrake St,Ajax,L1H5H4,Durham CDSB,703923,Yes,,
Bolton C. Falby Public School,80 Falby Crt,Ajax,L1S1N4,Durham DSB,33952,Yes,,
Duffins's Bay Public School,66 Pittmann Cres,Ajax,L1S3G4,Durham DSB,5215,,,Yes
Father Donald MacLellan catholic Secondary School(Ajax) - Return Ticket,1500 HOPKINS ST,Ajax,L1S3V4,Durham CDSB,682867,Yes,,Yes
J. Clarke Richardson Collegiate,1355 Harwood Ave N,Ajax,L1T4G8,Durham DSB,918423,Yes,,
Lester B Pearson Public School,21 Coughlen St,Ajax,L1T2M9,Durham DSB,311707,Yes,,
Lincoln Alexander Public School,70 Lincoln St,Ajax,L1T2W4,Durham DSB,312983,,,Yes
Lincoln Avenue Public School,70 Lincoln St,Ajax,L1S6C9,Durham DSB,312983,Yes,,
Lord Elgin Public School,24 Ontario St,Ajax,L1S1T6,Durham DSB,321176,Yes,,
Notre Dame C.S.S.,1375 Harwood Ave N,Ajax,L1T4G8,Durham CDSB,738050,Yes,,
Notre-Dame-de-la-Jeunesse,71 Ritchie avenue,Ajax,L1S6S5,CSDC Centre-Sud,738166,Yes,,
Pickering High School,180 Church St N,Ajax,L1T2W7,Durham DSB,935310,Yes,,
Roland Michener Public School,95 Ritchie Ave,Ajax,L1S6S2,Durham DSB,489336,,,Yes
St. Bernadette C.S.,41 Bayly St E,Ajax,L1S1P2,Durham CDSB,777242,Yes,,
St. Catherine Siena Catholic School,15 Bennett Ave,Ajax,L1T3P1,Durham CDSB,781282,,,Yes
St. Jude Catholic School,68 Coles Ave,Ajax,L1T3H5,Durham CDSB,772020,Yes,,
St. Teresa of Calcutta Catholic School,15 Fishlock St,Ajax,L1Z1H1,Durham CDSB,733040,Yes,,
Vimy Ridge Public School,40 Telford Street East,Ajax,L1T4Z4,Durham DSB,92886,Yes,,
Akwesasne Mohawk School,..,Akwesasne,K6H5R7,..,…,Yes,,
Simcoe CDSBASS-Innisfil Campus,..,Alcona,L9S1Z1,..,…,Yes,Yes,Yes
E Elem C Elda-Rouleau,115 Sandfield rue,Alexandria,K0C1A0,CSDC de l'Est ontarien,753297,Yes,,
ES C Le Relais,100 McNabb rue,Alexandria,K0C1A0,CSDC de l'Est ontarien,752908,Yes,,
Glengarry DHS,212 Main Street North,Alexandria,K0C1A0,Upper Canada DSB,913219,Yes,,
St Finnan's Catholic S,220 Main St,Alexandria,K0C1A0,CDSB of Eastern Ontario,806102,Yes,,
E Elem C Saint-Victor,38 Saint-Paul rue,Alfred,K0B1A0,CSDC de l'Est ontarien,857459,Yes,,
Alliston Learning Centre,46 Wellington St W,Alliston,L9R2B8,Simcoe County DSB,941174,Yes,,
Alliston Union Public School,211 Church,Alliston,L9R1H2,Simcoe County DSB,13331,Yes,,
Banting Memorial H.S.,203 Victoria St E,Alliston,L9R1L9,Simcoe County DSB,893064,Yes,,
Ernest Cumberland E.S.,160 Eighth Ave,Alliston,L9R1J3,Simcoe County DSB,181757,Yes,,
Holy Family School,180 King St S,Alliston,L9R1B9,Simcoe Muskoka CDSB,716413,Yes,,
Simcoe CDSBASS-Alliston Campus,46 Wellington St W,Alliston,L9R1E6,Simcoe County DSB,941174,Yes,Yes,Yes
St. Paul's Elementary School - Alliston,161 Wellington St E,Alliston,L9R0G5,Simcoe Muskoka CDSB,840815,Yes,,
Alma Public School,12 Simpson St E,Alma,N0B1A0,Upper Grand DSB,438170,Yes,,
Brooke Central Elementary School,7989 Brooke Line RR 7,Alvinston,N0N1A0,Lambton Kent DSB,66370,Yes,,
Amherstburg Public School,252 Hamilton Dr,Amherstburg,N9V1E1,Greater Essex County DSB,18660,Yes,,
Anderdon Elementary School,3170 Middle Side Rd RR 4,Amherstburg,N9V2Y9,Greater Essex County DSB,19054,Yes,,
Ecole Saint-Jean-Baptiste,365 Fryer rue,Amherstburg,N9V0C3,Conseil scolaire catholique Providence,804150,Yes,,
General Amherst High School,130 Sandwich St S,Amherstburg,N9V1Z8,Greater Essex County DSB,911780,Yes,,
Public Alternative Secondary School - PASS Amherstburg Site,..,Amherstburg,N9V1E9,..,204,,,Yes
Stella Maris Catholic Elementary,140 Girard St,Amherstburg,N9V2X3,Windsor-Essex CDSB,859575,Yes,,
Western Secondary School,5791 North Townline Rd RR 4,Amherstburg,N9V2Y9,Greater Essex County DSB,951927,Yes,,
Angus Morrison E.S.,91 Simcoe St,Angus,L0M1B0,Simcoe County DSB,186236,Yes,,
Nottawasaga Pines Secondary School,8505 County Road 10,Angus,L0M1B1,Simcoe County DSB,902636,Yes,,
Our Lady of Grace Catholic E.S.,24 Roth St,Angus,L0M1B2,Simcoe Muskoka CDSB,744611,Yes,,Yes
Pine River Elementary School,45 Brian Ave,Angus,L0M1B2,Simcoe County DSB,122092,Yes,,
Simcoe CDSBASS-Essa Campus,..,Angus,L0M1B2,..,…,Yes,,Yes
Apsley Public School,238 Burleigh St,Apsley,K0L1A0,Kawartha Pine Ridge DSB,20222,Yes,,
Armstrong Elementary S,Box 89,Armstrong,P0T1A0,Lakehead DSB,21008,Yes,,
A J Charbonneau Elementary Public School,225 B Baskin Dr W RR 2,Arnprior,K7S0E3,Renfrew County DSB,18830,Yes,,Yes
Arnprior DHS,59 Ottawa St,Arnprior,K7S1X2,Renfrew County DSB,892416,Yes,,
Arnprior PAL,480 Mary St,Arnprior,K7S1X2,Renfrew County DSB,937983,Yes,,
John XXIII Sep S,75 Edey St,Arnprior,K7S1B9,Renfrew County CDSB,724076,Yes, ,Yes
Mc Nab ,1164 Stewartville Road RR2,Arnprior,K7S3G8,Renfrew County DSB,355224,Yes, , 
St. Joseph’sSep S,835 First Street,Arnprior,K7V2P6,Renfrew County CDSB,854186,Yes, ,Yes
Walter Zadow PS,79 Ottawa St,Arnprior,K7S1X2,Renfrew County DSB,90557,Yes, , 
Arthur Public School,155 Conestoga St N,Arthur,N0G1A0,Upper Grand DSB,24252,Yes,,
St. John Catholic School - Arthur,315 Tucker St,Arthur,N0G1A0,Wellington CDSB,801429,Yes,,
Youth Options - Arthur,..,Arthur,N0G1A0,..,…,Yes,,
Medway High School,14405 Medway Rd,Arva,N0M1C0,Thames Valley DSB,925560,,,Yes
Ecole elementaire St. Thomas d’Aquin,1245 Village chemin,"Astorville, ON",P0H1B0,CSDC Franco-Nord,854590,Yes,,
Athens DHS,21 Church Street,Athens,K0E1B0,Upper Canada DSB,892807,Yes,,
Atikokan High School,324 Mercury Ave E,Atikokan,P0T1C0,Rainy River DSB,892939,,,Yes
North Star Community School,209 Hawthorne Avenue,Atikokan,P0T1C0,Rainy River DSB,500445,Yes,,
St Patrick's S,160 Hemlock Ave,Atikokan,P0T1C0,Northwest CDSB,839388,Yes,,
Elma Township Public School,5972 Line 72 RR 2,Atwood,N0G1B0,Avon Maitland DSB,175170,,,Yes
Academie de la moraine,115 George rue,Aurora,L4G2S3,CS Viamonde,165468,,,Yes
Aurora Heights Public School,85 Tecumseh Dr,Aurora,L4G2X5,York Region DSB,28282,Yes,,
Aurora High School,155 Wellington St W,Aurora,L4G2P4,York Region DSB,892998,,,Yes
Devins Drive Public School,70 Devins Dr,Aurora,L4G2Z4,York Region DSB,139343,,,Yes
Dr. G.W. Williams S.S.,39 Dunning Ave,Aurora,L4G1A2,York Region DSB,905020,,,Yes
Hartman Public School,130 River Ridge Blvd,Aurora,L4G7T7,York Region DSB,23016,,,Yes
Light of Christ Catholic Elementary School,290 McClellan Way,Aurora,L4G6P3,York CDSB,726206,,,Yes
Northern Lights Public School,40 Bridgenorth Dr,Aurora,L4G7S6,York Region DSB,406139,,,Yes
Regency Acres Public School,123 Murray Dr,Aurora,L4G2C7,York Region DSB,479772,Yes,Yes,
Rick Hansen Public School,490 Mavrinac Boulevard,Aurora,L4G0J6,York Region DSB,257447,,,Yes
St. Joseph Catholic School - Aurora,2 Glass Dr,Aurora,L4G2E8,York CDSB,806366,Yes,,
Wellington Public School,125 Wellington St W,Aurora,L4G2P3,York Region DSB,28304,,,Yes
Roxmore PS,16279 Fairview Drive,Avonmore,K0C1C0,Upper Canada DSB,28851,Yes,,
Tagwi Intermed and Secondary S,16750 County Road #43,Avonmore,K0C1C0,Upper Canada DSB,91610,Yes,,
Assumption Catholic School,42 South St E,Aylmer,N5H1P6,London District Catholic School Board,688061,Yes,,
